Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
54,Inferencing,2352.8,4.90,2489.13,25.0,75.0,3130.05,993.07,159,0,0,0.6897883415222168,4
55,Inferencing,722.44,1.44,783.07,100.0,100.0,1176.32,381.4,159,0,0,0.7014822959899902,4
56,Inferencing,573.3,1.16,604.32,100.0,100.0,796.38,285.89,159,0,0,0.5637340545654297,4
57,Inferencing,633.02,1.31,731.58,100.0,100.0,1027.36,216.2,159,0,0,0.5326287746429443,4
58,Inferencing,1301.98,2.79,1336.27,100.0,100.0,1732.43,925.35,159,0,0,0.47341251373291016,4
59,Inferencing,1525.18,3.27,1592.34,75.0,100.0,2229.56,989.32,159,0,0,0.5169796943664551,4
60,Inferencing,1910.05,4.08,1945.33,50.0,100.0,2268.12,1315.09,159,0,0,0.5473055839538574,4
61,Inferencing,1180.74,2.54,1320.11,100.0,100.0,1868.86,243.14,159,0,0,0.5812911987304688,4
62,Inferencing,1109.05,2.34,1167.84,100.0,100.0,1616.94,591.11,159,0,0,0.5073649883270264,4
63,Inferencing,823.24,1.74,948.32,100.0,100.0,1497.12,300.5,159,0,0,0.5863759517669678,4
64,Inferencing,1008.6,2.14,1212.84,100.0,100.0,1789.71,94.79,159,0,0,0.5177769660949707,4
65,Inferencing,1016.07,2.08,1138.67,100.0,100.0,1631.01,303.89,159,0,0,0.5366663932800293,4
66,Inferencing,1562.14,3.19,1731.65,75.0,100.0,2511.5,506.5,159,0,0,0.4898524284362793,4
67,Inferencing,2598.12,5.68,2684.72,25.0,50.0,3114.67,1447.55,159,0,0,0.500831127166748,4
68,Inferencing,3414.7,8.02,3858.53,50.0,50.0,6187.52,1681.59,159,0,0,0.5674104690551758,4
69,Inferencing,4347.13,11.04,4865.35,25.0,25.0,7241.22,1574.16,159,0,0,0.6595869064331055,4
70,Inferencing,747.51,1.73,821.38,100.0,100.0,957.95,158.07,159,0,0,1.0511891841888428,4
71,Inferencing,866.83,1.92,953.51,100.0,100.0,1447.52,360.83,159,0,0,0.560387134552002,4
72,Inferencing,2196.18,4.49,2279.71,25.0,100.0,2719.3,1179.33,159,0,0,0.6197829246520996,4
73,Inferencing,2462.77,4.74,2565.93,25.0,75.0,3467.02,1495.44,159,0,0,0.6820650100708008,4
74,Inferencing,791.88,1.55,881.26,100.0,100.0,1437.36,418.49,159,0,0,0.6695590019226074,4
75,Inferencing,807.66,1.56,844.83,100.0,100.0,1187.52,497.8,159,0,0,0.5407800674438477,4
76,Inferencing,478.7,0.93,628.27,100.0,100.0,1181.81,201.24,159,0,0,0.4992990493774414,4
77,Inferencing,899.83,1.66,1210.35,75.0,100.0,2213.25,28.32,159,0,0,0.481827974319458,4
78,Inferencing,4557.56,7.88,4581.41,0.0,0.0,5064.2,3817.01,159,0,0,0.5246214866638184,4
79,Inferencing,1607.92,2.76,1607.92,100.0,100.0,1607.92,1607.92,159,0,0,0.5897367000579834,4
